date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:04	25197/25197	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2005:00:03%20GMT	http://archive.agribankquan5.com.vn/chung-khoan-the-gioi-cho-tin-tu-hoi-nghi-g20/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/chung-khoan-the-gioi-cho-tin-tu-hoi-nghi-g20/index.html	(from http://archive.agribankquan5.com.vn/category/tin-tuc/page/19/)
12:00:05	2577/2577	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:05%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Flenh-mua-co-phieu-tang-gan-70%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedfcd7	(from http://archive.agribankquan5.com.vn/lenh-mua-co-phieu-tang-gan-70/)
12:00:06	23619/23619	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2005:00:05%20GMT	http://archive.agribankquan5.com.vn/gom-co-phieu-de-duoc-du-dai-hoi-co-dong/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/gom-co-phieu-de-duoc-du-dai-hoi-co-dong/index.html	(from http://archive.agribankquan5.com.vn/category/tin-tuc/page/19/)
12:00:06	24482/24482	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2005:00:05%20GMT	http://archive.agribankquan5.com.vn/su-tien-dung-khi-dung-the-atm/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/su-tien-dung-khi-dung-the-atm/index.html	(from http://archive.agribankquan5.com.vn/category/tin-tuc/page/19/)
12:00:07	23430/23430	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2005:00:06%20GMT	http://archive.agribankquan5.com.vn/du-no-ho-tro-lai-suat-da-vuot-144000-ti-dong/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/du-no-ho-tro-lai-suat-da-vuot-144000-ti-dong/index.html	(from http://archive.agribankquan5.com.vn/category/tin-tuc/page/19/)
12:00:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:06%20GMT	http://archive.agribankquan5.com.vn/?p=62	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/index5c36.html	(from http://archive.agribankquan5.com.vn/lenh-mua-co-phieu-tang-gan-70/)
12:00:07	31280/31280	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2005:00:06%20GMT	http://archive.agribankquan5.com.vn/suy-giam-kinh-te-da-cham-lai/	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/suy-giam-kinh-te-da-cham-lai/index.html	(from http://archive.agribankquan5.com.vn/category/tin-tuc/page/19/)
12:00:08	2545/2545	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:07%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fxang-dau-tang-chiet-khau-chua-giam-gia%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed4d17.json	(from http://archive.agribankquan5.com.vn/xang-dau-tang-chiet-khau-chua-giam-gia/)
12:00:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:07%20GMT	http://archive.agribankquan5.com.vn/?p=61	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/index094d.html	(from http://archive.agribankquan5.com.vn/xang-dau-tang-chiet-khau-chua-giam-gia/)
12:00:08	2679/2679	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Apr%202018%2005:00:08%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Fxang-dau-tang-chiet-khau-chua-giam-gia%2F&format=xml	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embedcda8	(from http://archive.agribankquan5.com.vn/xang-dau-tang-chiet-khau-chua-giam-gia/)
12:00:09	2529/2529	---MCZ	200	added ('OK')	application/json	date:Thu,%2012%20Apr%202018%2005:00:09%20GMT	http://archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Farchive.agribankquan5.com.vn%2Flam-phat-nam-nay-o-vn-co-the-duoi-10%2F	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/wp-json/oembed/1.0/embed6b11.json	(from http://archive.agribankquan5.com.vn/lam-phat-nam-nay-o-vn-co-the-duoi-10/)
12:00:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Apr%202018%2005:00:09%20GMT	http://archive.agribankquan5.com.vn/?p=60	E:/My%20Web%20Sites/agribankquan5.com.vn/archive.agribankquan5.com.vn/index0721.html	(from http://archive.agribankquan5.com.vn/lam-phat-nam-nay-o-vn-co-the-duoi-10/)
